word	rank	flags	current_breakdown
asymmetric	20514	stray	a·sym·metr·ic
submitter	20606	stray,unknown	sub·mit·t·er
orthopaedic	20693	stray,unknown	orth·op·ae·d·ic
groupware	20772	stray,lowconf,unknown	gro·upw·ar·e
saccharomyces	20824	stray,lowconf,unknown	sac·ch·ar·om·y·c·es
inefficient	20855	stray,unknown	in·ef·fic·i·ent
reminiscent	20890	stray,unknown	re·min·i·s·c·ent
philharmonic	20952	stray,lowconf,unknown	phil·h·ar·mon·ic
abilene	20973	stray,unknown	a·bi·l·en·e
aligning	21001	stray,unknown	a·lig·n·ing
comforts	21213	stray	com·fort·s
credential	21295	stray,unknown	cred·ent·i·al
quirky	21297	stray,unknown	quir·k·y
soldering	21439	stray,unknown	sol·d·er·ing
dielectric	21541	stray,unknown	di·e·lect·r·ic
persuasive	21551	stray,unknown	per·su·a·s·ive
morals	21578	stray	mor·al·s
dieting	21591	stray	di·e·ting
admired	21762	stray,unknown	ad·mire·d
sufficiency	21786	stray,unknown	suf·fic·i·ency
groves	21810	stray,unknown	gro·v·es
oceanography	22013	stray	oc·e·an·o·graph·y
lucrative	22022	stray,unknown	luc·r·ative
legged	22053	stray,unknown	leg·ge·d
suisse	22074	stray,unknown	su·i·s·s·e
loco	22127	stray,unknown	loc·o
progesterone	22162	stray,lowconf,unknown	pro·ge·s·t·er·one
genet	22239	stray,unknown	gene·t
disciplined	22422	stray,unknown	dis·cip·l·ine·d
attenuation	22577	stray,unknown	at·ten·u·ation
ineligible	22811	stray	in·e·lig·ible
genotype	22835	stray,lowconf,unknown	gen·o·ty·pe
reductase	23246	stray,unknown	re·duct·a·s·e
divergence	23257	stray,unknown	di·ver·g·ence
unitary	23270	stray	uni·tar·y
admittedly	23273	stray,unknown	ad·mit·t·ed·ly
electorate	23297	stray	e·lect·or·ate
markedly	23332	stray,unknown	mar·k·ed·ly
encapsulation	23430	stray,unknown	en·cap·su·l·ation
neoprene	23516	stray,unknown	ne·op·r·en·e
specialise	23657	stray,unknown	spec·i·al·ise
exaggerated	23757	stray,unknown	ex·ag·ge·r·ate·d
mindset	23787	stray,lowconf,unknown	min·d·s·et
bikers	23908	stray,unknown	bi·k·er·s
outsole	24081	stray	out·sol·e
implicated	24327	stray,unknown	im·plic·ate·d
regrets	24371	stray,lowconf,unknown	reg·ret·s
paternity	24592	stray,unknown	pater·n·ity
expansive	24720	stray	ex·pan·s·ive
perceptual	24867	stray,unknown	per·cept·u·al
subsurface	25076	stray	sub·sur·fac·e
manned	25081	stray,unknown	man·n·ed
porte	25082	stray	port·e
demolished	25178	stray,unknown	demo·l·ish·ed
cytoplasmic	25184	stray,lowconf,unknown	cyt·op·la·s·m·ic
solarium	25197	stray,unknown	sol·ar·i·um
marbles	25258	stray	mar·ble·s
susanna	25565	stray,lowconf,unknown	su·s·an·na
clustered	25619	stray,unknown	clus·t·er·ed
monterrey	25671	stray,unknown	mon·terr·e·y
tangled	25734	stray,unknown	tang·l·ed
auspices	25795	stray	a·u·spic·es
combinatorial	25940	stray,unknown	com·bi·nat·or·i·al
atheism	25978	stray	a·the·ism
tainted	25984	stray,unknown	tain·t·ed
redefine	26019	stray	re·de·fin·e
orthopedics	26212	stray	ortho·ped·ic·s
sensibility	26273	stray,unknown	sens·i·bi·l·ity
readability	26458	stray,unknown	re·ad·a·bi·l·ity
temperament	26682	stray,unknown	temp·er·a·ment
evoked	26773	stray	e·vok·ed
individuality	26781	stray,unknown	in·di·vid·u·al·ity
asymmetry	26811	stray	a·sym·metr·y
jacquard	27034	stray,lowconf,unknown	jac·qu·ar·d
abiding	27094	stray,unknown	a·bi·d·ing
animator	27163	stray	an·im·a·tor
psychotic	27236	stray,unknown	psycho·t·ic
mandalay	27275	stray,unknown	man·d·al·a·y
seventies	27309	stray,unknown	se·vent·i·es
anomalous	27326	stray	a·nom·al·ous
solubility	27467	stray,unknown	solu·bi·l·ity
porta	27548	stray,unknown	port·a
ebitda	27601	stray,lowconf,unknown	e·bi·tda
eliminator	27607	stray	e·limin·ator
unnecessarily	27670	stray,unknown	un·ne·cess·ar·i·ly
hydroxy	27685	stray,unknown	hydro·x·y
dempsey	27692	stray,lowconf,unknown	dem·p·s·e·y
intercollegiate	27811	stray,unknown	inter·col·leg·i·ate
intellectually	27935	stray,unknown	intel·lect·u·al·ly
physiotherapy	27981	stray,unknown	physio·the·rap·y
mina	28026	stray,unknown	min·a
nome	28135	stray	nom·e
flushed	28191	stray,unknown	flu·s·h·ed
exponentially	28237	stray,unknown	ex·pon·ent·i·al·ly
severn	28338	stray,unknown	se·ver·n
edema	28423	stray,unknown	e·dem·a
luce	28577	stray	luc·e
decidedly	28606	stray,unknown	de·cide·d·ly
apathy	28608	stray	a·path·y
cytokine	28623	stray,unknown	cyto·k·ine
ingenuity	28640	stray,unknown	in·gen·u·ity
repellent	28745	stray,unknown	re·pel·l·ent
unincorporated	28805	stray,unknown	un·in·corpor·ate·d
mott	28912	stray,unknown	mot·t
standardised	28924	stray,unknown	stand·ar·d·ise·d
morristown	28939	stray,lowconf,unknown	mor·r·ist·own
liberalisation	29000	stray,unknown	liber·al·i·s·ation
gratefully	29180	stray,unknown	grat·e·ful·ly
divergent	29181	stray,unknown	di·ver·gen·t
morgantown	29194	stray,lowconf,unknown	mor·g·ant·own
endometriosis	29221	stray,unknown	endo·metr·i·osis
sequentially	29313	stray,unknown	sequ·ent·i·al·ly
alumina	29318	stray,unknown	a·lumin·a
impede	29399	stray	im·ped·e
easing	29588	stray	e·a·sing
judaica	29736	stray,lowconf,unknown	jud·a·ic·a
sacked	29748	stray,unknown	sac·k·ed
amorphous	29845	stray,unknown	a·mor·ph·ous
archaic	29874	stray,unknown	arch·a·ic
contemporaries	29886	stray,unknown	con·tempor·ar·i·es
ventilated	29924	stray,lowconf,unknown	vent·il·ate·d
azores	29966	stray,unknown	a·zo·r·es
bellows	30148	stray,lowconf,unknown	bell·ow·s
fingered	30247	stray,unknown	fin·ge·r·ed
conjugated	30361	stray,unknown	con·jug·ate·d
moray	30469	stray,unknown	mor·a·y
esophagus	30484	stray,unknown	eso·phag·u·s
macroeconomics	30511	stray	macro·e·co·nom·ic·s
aquatics	30693	stray,unknown	aqua·t·ic·s
econometrics	30858	stray	e·con·o·metr·ic·s
bihar	30889	stray,unknown	bi·h·ar
clams	30905	stray	clam·s
bogart	31087	stray,unknown	bog·ar·t
archeology	31527	stray,unknown	arch·e·ology
transmittal	31611	stray,unknown	trans·mit·t·al
spire	31703	stray	spir·e
enhydra	31848	stray,unknown	en·hydr·a
insufficiency	31953	stray,unknown	in·suf·fic·i·ency
ferrara	32027	stray,lowconf,unknown	fer·r·ar·a
helical	32039	stray,unknown	heli·c·al
photosynthesis	32065	stray,lowconf,unknown	photo·s·y·nth·es·i·s
mortuary	32169	stray,unknown	mort·u·ary
signatory	32306	stray	sign·ator·y
apologetics	32352	stray,lowconf,unknown	ap·o·log·et·ic·s
anamorphic	32371	stray,unknown	an·a·mor·ph·ic
gestational	32507	stray,unknown	ge·s·t·ation·al
zocor	32514	stray,unknown	zo·c·or
ecotourism	32515	stray,unknown	e·cot·o·ur·ism
orthopaedics	32524	stray,unknown	orth·op·ae·d·ic·s
conveniences	32563	stray,unknown	con·ven·i·ence·s
acceptability	32645	stray,unknown	ac·cept·a·bi·l·ity
viscous	32669	stray,unknown	vis·c·ous
amine	32693	stray	a·min·e
eigenvalue	32932	stray,lowconf,unknown	e·i·gen·v·al·ue
inconvenient	32933	stray,unknown	in·con·ven·i·ent
panzer	32947	stray,unknown	pan·z·er
agnostic	33021	stray,unknown	a·gnos·t·ic
mariposa	33091	stray,unknown	mari·pos·a
grate	33183	stray	grat·e
spectroscopic	33229	stray,lowconf,unknown	spect·ro·s·cop·ic
bioassay	33453	stray,unknown	bio·a·s·s·a·y
convergent	33477	stray,unknown	con·ver·gen·t
anova	33528	stray,unknown	a·nov·a
prognostic	33779	stray,unknown	pro·gnos·t·ic
lustre	33786	stray	lustr·e
asymmetrical	33973	stray	a·sym·metr·ical
ventral	34066	stray,unknown	vent·r·al
transponder	34101	stray,unknown	trans·pon·d·er
visualisation	34165	stray,unknown	vis·u·al·i·s·ation
pondering	34201	stray,unknown	pon·d·er·ing
expedient	34266	stray,unknown	ex·ped·i·ent
retardant	34336	stray,unknown	re·tar·d·ant
specialisation	34485	stray,unknown	spec·i·al·i·s·ation
obit	34529	stray,lowconf,unknown	o·bi·t
indistinguishable	34590	stray,unknown	in·dis·ting·u·ish·able
condemning	34694	stray,unknown	con·dem·n·ing
evidentiary	34748	stray,unknown	e·vid·ent·i·ary
localisation	34756	stray,unknown	loc·al·i·s·ation
centralised	35045	stray,unknown	centr·al·ise·d
moveable	35093	stray,unknown	mov·e·able
congested	35134	stray,unknown	con·ge·s·t·ed
conceptually	35154	stray,unknown	con·cept·u·al·ly
endometrial	35441	stray,unknown	endo·metr·i·al
paternal	35518	stray,unknown	pater·n·al
plexus	35700	stray,unknown	plex·u·s
commonsense	35775	stray	com·mon·sens·e
dominoes	35784	stray,unknown	domin·o·es
margate	35844	stray,unknown	mar·g·ate
converging	35930	stray,unknown	con·ver·g·ing
tingling	36011	stray,unknown	ting·l·ing
biosafety	36077	stray,unknown	bio·s·af·ety
binomial	36078	stray,unknown	bi·nom·i·al
engels	36079	stray,unknown	en·ge·l·s
emitter	36108	stray,unknown	e·mit·t·er
confine	36342	stray	con·fin·e
comparability	36466	stray,unknown	com·para·bi·l·ity
antineoplastic	36505	stray,unknown	anti·ne·op·la·s·t·ic
marquise	36552	stray	mar·quis·e
evocative	36575	stray	e·voc·ative
mane	36742	stray	man·e
transgendered	36756	stray,unknown	trans·gen·d·er·ed
minden	36843	stray,unknown	min·d·en
triage	36940	stray	tri·a·ge
chernobyl	36955	stray,lowconf,unknown	cher·nob·y·l
insurgent	36961	stray,unknown	in·sur·gen·t
marshals	36972	stray,unknown	mar·s·h·al·s
mormons	37109	stray,lowconf,unknown	mor·mon·s
magdalena	37161	stray,unknown	mag·d·al·en·a
standardisation	37402	stray,unknown	stand·ar·di·s·ation
mitigated	37417	stray,lowconf,unknown	mit·ig·ate·d
biostatistics	37536	stray,unknown	bio·s·tat·ist·ic·s
genova	37627	stray,unknown	ge·nov·a
mitral	37650	stray,unknown	mit·r·al
visualized	37960	stray,unknown	vis·u·al·ize·d
telemark	38011	stray,unknown	tele·mar·k
cardinality	38096	stray,unknown	cardi·n·al·ity
individualism	38124	stray,unknown	in·di·vid·u·al·ism
extinguished	38168	stray,unknown	ex·ting·u·ish·ed
photojournalism	38240	stray,unknown	photo·jo·ur·n·al·ism
bioengineering	38259	stray,unknown	bio·en·g·ine·er·ing
portraying	38341	stray,unknown	port·ra·y·ing
eigen	38360	stray	e·i·gen
agronomy	38374	stray	a·gro·nom·y
attenuated	38439	stray,unknown	at·ten·u·ate·d
inefficiency	38444	stray,unknown	in·ef·fic·i·ency
ponderosa	38560	stray,lowconf,unknown	pon·d·er·o·s·a
consensual	38603	stray,unknown	con·sens·u·al
reproducibility	38692	stray,unknown	re·pro·duc·i·bi·l·ity
solute	38742	stray	solut·e
magnetics	38971	stray,unknown	magn·et·ic·s
torus	39073	stray,unknown	tor·u·s
discontinuation	39176	stray,unknown	dis·con·tin·u·ation
angered	39248	stray,unknown	an·ge·r·ed
thermos	39264	stray	thermo·s
tennyson	39307	stray,lowconf,unknown	ten·n·y·s·on
bicentennial	39346	stray,unknown	bi·c·ent·en·ni·al
sentient	39359	stray,unknown	sent·i·ent
veritable	39399	stray,unknown	veri·t·able
sacrificial	39432	stray,lowconf,unknown	sac·rif·ic·i·al
algiers	39584	stray,unknown	alg·i·er·s
templar	39589	stray,unknown	temp·l·ar
microeconomics	39659	stray	micro·e·co·nom·ic·s
administratively	40440	stray,unknown	ad·min·ist·r·ative·ly
dependability	40482	stray,unknown	de·pend·a·bi·l·ity
elector	40726	stray	e·lect·or
cortina	41014	stray,unknown	cor·tin·a
synchronisation	41044	stray,unknown	syn·chron·i·s·ation
prejudicial	41053	stray,unknown	pre·judic·i·al
teleconferencing	41208	stray,unknown	tele·con·fer·en·c·ing
extinguishing	41262	stray,unknown	ex·ting·u·ish·ing
admissibility	41622	stray,unknown	ad·miss·i·bi·l·ity
moro	41705	stray,unknown	mor·o
generalised	41917	stray,unknown	gener·al·ise·d
marred	42005	stray,unknown	mar·r·ed
overuse	42220	stray,lowconf,unknown	o·ver·u·s·e
sensuality	42283	stray,unknown	sens·u·al·ity
sensuous	42297	stray,unknown	sens·u·ous
transcriptase	42351	stray,unknown	tran·script·a·s·e
gestalt	42382	stray,lowconf,unknown	ge·s·t·al·t
speciation	42530	stray,unknown	spec·i·ation
discontinuous	42632	stray,unknown	dis·con·tin·u·ous
tarp	42923	stray,unknown	tar·p
aten	42926	stray	a·ten
everyman	43274	stray	e·ver·y·man
localised	43332	stray,unknown	loc·al·ise·d
sevens	43402	stray	se·ven·s
uncomplicated	43533	stray,unknown	un·com·plic·ate·d
endicott	43607	stray,unknown	en·di·cot·t
persephone	43818	stray	per·se·phon·e
amitriptyline	43951	stray,lowconf,unknown	a·mit·rip·ty·l·ine
undifferentiated	43982	stray,unknown	un·dif·fer·ent·i·ate·d
obsolescence	44043	stray,unknown	ob·sol·es·c·ence
electrolytic	44174	stray,unknown	e·lect·ro·ly·t·ic
indigestion	44207	stray	in·di·ge·s·tion
amortisation	44326	stray,unknown	a·mort·i·s·ation
biotic	44355	stray,unknown	bio·t·ic
taro	44366	stray,unknown	tar·o
viscose	44378	stray,lowconf,unknown	vis·co·s·e
aalborg	44385	stray,unknown	a·alb·or·g
unaccompanied	44553	stray,unknown	un·ac·com·pan·i·ed
hydrocortisone	44598	stray,lowconf,unknown	hydro·c·or·ti·s·one
prelims	44714	stray	pre·lim·s
mandala	44723	stray,lowconf,unknown	man·d·al·a
manageability	44802	stray,linkers,unknown	man·a·ge·a·bi·l·ity
dominick	45056	stray,unknown	domin·ic·k
gerbera	45120	stray,lowconf,unknown	ge·rb·er·a
mote	45172	stray	mot·e
solvay	45206	stray,unknown	solv·a·y
vermeer	45234	stray,lowconf,unknown	ver·m·ee·r
albers	45303	stray	alb·er·s
differentially	45406	stray,unknown	dif·fer·ent·i·al·ly
epos	45435	stray	e·pos
neoplastic	45579	stray,lowconf,unknown	ne·op·la·s·t·ic
academe	45748	stray	ac·a·dem·e
quercus	45872	stray,lowconf,unknown	quer·cu·s
gnostic	45945	stray,unknown	gnos·t·ic
pons	45970	stray	pon·s
mobilisation	46059	stray,unknown	mob·ili·s·ation
segway	46075	stray,lowconf,unknown	seg·wa·y
evers	46165	stray	e·vers
electrification	46330	stray,unknown	e·lect·rif·ic·ation
demarcation	46466	stray,unknown	de·mar·c·ation
mobius	46525	stray,lowconf,unknown	mob·iu·s
symbiotic	46630	stray,unknown	sym·bio·t·ic
involuntarily	46696	stray,unknown	in·volu·nt·ar·i·ly
coleoptera	46709	stray,unknown	col·e·opt·er·a
preeminent	46827	stray	pre·e·min·ent
decentralisation	46844	stray,unknown	de·centr·al·i·s·ation
tangential	46882	stray,unknown	tang·ent·i·al
singaporean	46929	stray,lowconf,unknown	sing·ap·or·e·an
marbled	46943	stray,unknown	mar·ble·d
semantically	47001	stray,unknown	se·man·t·ical·ly
forties	47032	stray,unknown	fort·i·es
fica	47069	stray,unknown	fic·a
reelection	47149	stray	re·e·lect·ion
colostrum	47174	stray,unknown	col·o·stru·m
anubis	47490	stray	an·u·bi·s
vertu	47518	stray,unknown	vert·u
geodesic	47829	stray,unknown	geo·d·es·ic
albedo	47866	stray,unknown	alb·ed·o
emoticon	48112	stray,unknown	e·mot·ic·on
beneficially	48126	stray,unknown	bene·fic·i·al·ly
athenaeum	48134	stray,unknown	a·the·n·ae·um
motorised	48143	stray,unknown	mot·or·ise·d
mutilated	48147	stray,lowconf,unknown	mut·il·ate·d
preferentially	48595	stray,unknown	pre·fer·ent·i·al·ly
torr	48860	stray,unknown	tor·r
novgorod	48912	stray,lowconf,unknown	nov·g·or·od
hydroxyl	49400	stray,unknown	hydro·x·y·l
adenoma	49412	stray,unknown	ad·e·nom·a
judgmental	49465	stray,unknown	jud·g·ment·al
